Generation,Name,Party,BirthYear,BillCount,BioguideID,OfficialPhotoURL,PhotoURL
Gen X,"McClellan, Jennifer L.",D,1972.0,38,M001227,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001227.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001227.jpg
Gen X,"Van Orden, Derrick",R,1969.0,54,V000135,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/V000135.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/V000135.jpg
Gen X,"Ogles, Andrew",R,1971.0,190,O000175,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/O000175.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/O000175.jpg
Gen X,"Moran, Nathaniel",R,1974.0,35,M001224,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001224.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001224.jpg
Gen X,"Luttrell, Morgan",R,1975.0,41,L000603,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000603.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000603.jpg
Gen X,"Kiggans, Jennifer A.",R,1971.0,60,K000399,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/K000399.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/K000399.jpg
Gen X,"De La Cruz, Monica",R,1974.0,52,D000594,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/D000594.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/D000594.jpg
Gen X,"Balint, Becca",D,1968.0,32,B001318,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001318.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/B001318.jpg
Gen X,"Moore, Barry",R,1966.0,52,M001212,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001212.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001212.jpg
Gen X,"Greene, Marjorie Taylor",R,1974.0,109,G000596,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000596.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000596.jpg
Gen X,"Cisneros, Gilbert Ray",D,1971.0,23,C001123,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001123.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/C001123.jpg
Gen X,"Gonzalez, Vicente",D,1967.0,47,G000581,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000581.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/G000581.jpg
Gen X,"Tokuda, Jill N.",D,1976.0,55,T000487,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/T000487.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/T000487.jpg
Gen X,"Sorensen, Eric",D,1976.0,19,S001225,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001225.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001225.jpg
Gen X,"Salinas, Andrea",D,1969.0,41,S001226,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001226.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001226.jpg
Gen X,"Nunn, Zachary",R,1979.0,105,N000193,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/N000193.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/N000193.jpg
Gen X,"Moskowitz, Jared",D,1980.0,29,M001217,https://bioguide.congress.gov/bioguide/photo/M/M001217.jpg,https://bioguide.congress.gov/bioguide/photo/M/M001217.jpg
Gen X,"Mills, Cory",R,1980.0,38,M001216,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001216.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001216.jpg
Gen X,"McGarvey, Morgan",D,1979.0,36,M001220,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001220.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001220.jpg
Gen X,"Lee, Laurel M.",R,1974.0,35,L000597,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000597.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000597.jpg
Gen X,"Landsman, Greg",D,1976.0,31,L000601,https://bioguide.congress.gov/bioguide/photo/L/L000601.jpg,https://bioguide.congress.gov/bioguide/photo/L/L000601.jpg
Gen X,"LaLota, Nick",R,1978.0,58,L000598,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000598.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000598.jpg
Gen X,"Kean, Thomas H.",R,1968.0,39,K000398,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/K000398.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/K000398.jpg
Gen X,"Jackson, Jonathan L.",D,1966.0,11,J000309,https://bioguide.congress.gov/bioguide/photo/J/J000309.jpg,https://bioguide.congress.gov/bioguide/photo/J/J000309.jpg
