Generation,Name,Party,BirthYear,BillCount
Gen X,"Arrington, Jodey C.",R,1972,178
Gen X,"Kustoff, David",R,1966,102
Gen X,"Fitzpatrick, Brian K.",R,1973,223
Gen X,"Gottheimer, Josh",D,1975,169
Gen X,"Johnson, Mike",R,1972,74
Gen X,"Krishnamoorthi, Raja",D,1973,145
Gen X,"Soto, Darren",D,1978,147
Gen X,"Barragán, Nanette Diaz",D,1976,116
Gen X,"Horsford, Steven",D,1973,104
Gen X,"Min, Dave",D,1976,10
Gen X,"Hurd, Jeff",R,1979,12
Gen X,"Khanna, Ro",D,1976,167
Gen X,"Comer, James",R,1972,47
Gen X,"Davidson, Warren",R,1970,148
Gen X,"Kelly, Trent",R,1966,67
Gen X,"Plaskett, Stacey E.",D,1966,132
Gen X,"Rouzer, David",R,1972,95
Gen X,"Moulton, Seth",D,1978,96
Gen X,"Torres, Norma J.",D,1965,179
Gen X,"Westerman, Bruce",R,1967,88
Gen X,"Smith, Jason",R,1980,121
Gen X,"Barr, Andy",R,1973,198
Gen X,"Veasey, Marc A.",D,1971,122
Gen X,"Castro, Joaquin",D,1974,177
Gen X,"Jeffries, Hakeem S.",D,1970,133
Gen X,"Meng, Grace",D,1975,304
Gen X,"Massie, Thomas",R,1971,110
Gen X,"Scott, Austin",R,1969,73
Gen X,"Crawford, Eric A. ""Rick""",R,1966,136
Gen X,"Sewell, Terri A.",D,1965,118
Gen X,"Castor, Kathy",D,1966,203
Gen X,"Himes, James A.",D,1966,109
Gen X,"Scalise, Steve",R,1965,110
Gen X,"Carson, André",D,1974,167
Gen X,"Sánchez, Linda T.",D,1969,242
Gen X,"Simon, Lateefah",D,1977,2
Gen X,"Rivas, Luz M.",D,1974,4
Gen X,"Liccardo, Sam T.",D,1970,10
Gen X,"Gray, Adam",D,1977,4
Gen X,"Begich, Nicholas J.",R,1977,19
Gen X,"Smith, Adrian",R,1970,132
Gen X,"Smith, Adam",D,1965,227
Gen X,"Aderholt, Robert B.",R,1965,100
Gen X,"Larsen, Rick",D,1965,172
Gen X,"Young, Todd",R,1972,397
Gen X,"Warnock, Raphael G.",D,1969,209
Gen X,"Slotkin, Elissa",D,1976,188
Gen X,"Schmitt, Eric",R,1975,92
Gen X,"Scott, Tim",R,1965,437
Gen X,"Schatz, Brian",D,1972,673
Gen X,"Padilla, Alex",D,1973,465
Gen X,"Mullin, Markwayne",R,1977,156
Gen X,"Murphy, Christopher",D,1973,557
Gen X,"Moody, Ashley",R,1975,20
Gen X,"McCormick, David",R,1965,26
Gen X,"Moreno, Bernie",R,1967,23
Gen X,"Lee, Mike",R,1971,2033
Gen X,"Luján, Ben Ray",D,1972,445
Gen X,"Lankford, James",R,1968,639
Gen X,"Husted, Jon",R,1967,24
Gen X,"Heinrich, Martin",D,1971,522
Gen X,"Hawley, Josh",R,1979,320
Gen X,"Fetterman, John",D,1969,66
Gen X,"Gallego, Ruben",D,1979,189
Gen X,"Gillibrand, Kirsten E.",D,1966,878
Gen X,"Ernst, Joni",R,1970,625
Gen X,"Duckworth, Tammy",D,1968,520
Gen X,"Cruz, Ted",R,1970,1062
Gen X,"Cotton, Tom",R,1977,532
Gen X,"Budd, Ted",R,1971,230
Gen X,"Booker, Cory A.",D,1969,929
Gen X,"Alsobrooks, Angela D.",D,1971,35
Gen X,"Banks, Jim",R,1979,229
Millennial,"Subramanyam, Suhas",D,1986,17
Millennial,"Riley, Josh",D,1981,8
Millennial,"Olszewski, Johnny",D,1982,6
Millennial,"McDowell, Addison P.",R,1994,8
Millennial,"Mackenzie, Ryan",R,1982,7
Millennial,"Knott, Brad",R,1986,2
Millennial,"Hernández, Pablo Jose",D,1991,15
Millennial,"Harrigan, Pat",R,1987,9
Millennial,"Goodlander, Maggie",D,1986,4
Millennial,"Gill, Brandon",R,1994,15
Millennial,"Elfreth, Sarah",D,1988,4
Millennial,"Bresnahan, Robert P.",R,1990,12
Millennial,"Barrett, Tom",R,1981,14
Millennial,"McBride, Sarah",D,1990,3
Millennial,"Jack, Brian",R,1988,4
Millennial,"Figures, Shomari",D,1985,8
Millennial,"Evans, Gabe",R,1986,14
Millennial,"McIver, LaMonica",D,1986,7
Millennial,"Maloy, Celeste",R,1981,32
Millennial,"Amo, Gabe",D,1987,15
Millennial,"Perez, Marie Gluesenkamp",D,1988,50
Millennial,"Magaziner, Seth",D,1983,38
Millennial,"Lee, Summer L.",D,1987,32
Millennial,"Hunt, Wesley",R,1981,18
Millennial,"Fry, Russell",R,1985,28
Millennial,"Deluzio, Christopher R.",D,1984,40
Millennial,"Crockett, Jasmine",D,1981,37
Millennial,"Casar, Greg",D,1989,10
Millennial,"Boebert, Lauren",R,1986,146
Millennial,"Vasquez, Gabe",D,1984,54
Millennial,"Sykes, Emilia Strong",D,1986,51
Millennial,"Scholten, Hillary J.",D,1982,26
Millennial,"Ramirez, Delia C.",D,1983,30
Millennial,"Miller, Max L.",R,1988,30
Millennial,"Menendez, Robert",D,1985,22
Millennial,"Luna, Anna Paulina",R,1989,62
Millennial,"Lawler, Michael",R,1986,133
Millennial,"Langworthy, Nicholas A.",R,1981,65
Millennial,"James, John",R,1981,52
Millennial,"Ryan, Patrick",D,1982,34
Millennial,"Hinson, Ashley",R,1983,76
Millennial,"Pettersen, Brittany",D,1981,45
Millennial,"Kiley, Kevin",R,1985,36
Millennial,"Ciscomani, Juan",R,1982,52
Millennial,"Yakym, Rudy",R,1984,37
Millennial,"Letlow, Julia",R,1981,20
Millennial,"Jacobs, Sara",D,1989,63
Millennial,"Harder, Josh",D,1986,139
Millennial,"Torres, Ritchie",D,1988,146
Millennial,"Garbarino, Andrew R.",R,1984,87
Millennial,"Cammack, Kat",R,1988,65
Millennial,"Auchincloss, Jake",D,1988,15
Millennial,"Golden, Jared F.",D,1982,86
Millennial,"Steil, Bryan",R,1981,85
Millennial,"Gooden, Lance",R,1982,60
Millennial,"Crenshaw, Dan",R,1984,92
Millennial,"Timmons, William R.",R,1984,35
Millennial,"Reschenthaler, Guy",R,1983,57
Millennial,"Walkinshaw, James R.",D,1982,2
Millennial,"Ocasio-Cortez, Alexandria",D,1989,70
Millennial,"Omar, Ilhan",D,1982,122
Millennial,"Stevens, Haley M.",D,1983,99
Millennial,"Underwood, Lauren",D,1986,110
Millennial,"Neguse, Joe",D,1984,330
Millennial,"Stefanik, Elise M.",R,1984,189
Millennial,"Tran, Derek",D,1982,6
Millennial,"Randall, Emily",D,1985,8
Millennial,"Hamadeh, Abraham J.",R,1991,12
Millennial,"Ansari, Yassamin",D,1992,20
Millennial,"Sheehy, Tim",R,1985,43
Millennial,"Ossoff, Jon",D,1987,214
Millennial,"Kim, Andy",D,1982,156
Millennial,"Britt, Katie Boyd",R,1982,43
Baby Boomer,"Pou, Nellie",D,1956,4
Baby Boomer,"Messmer, Mark B.",R,1962,6
Baby Boomer,"McClain Delaney, April",D,1964,7
Baby Boomer,"Latimer, George",D,1953,1
Baby Boomer,"Conaway, Herbert C.",D,1963,7
Baby Boomer,"Fields, Cleo",D,1962,21
Baby Boomer,"Onder, Robert F.",R,1962,11
Baby Boomer,"Self, Keith",R,1953,57
Baby Boomer,"Hageman, Harriet M.",R,1962,112
Baby Boomer,"Franklin, Scott",R,1964,41
Baby Boomer,"Miller, Carol D.",R,1950,87
Baby Boomer,"McBath, Lucy",D,1960,66
Baby Boomer,"Scanlon, Mary Gay",D,1959,103
Baby Boomer,"Suozzi, Thomas R.",D,1962,70
Baby Boomer,"Green, Al",D,1947,350
Baby Boomer,"Doggett, Lloyd",D,1946,257
Baby Boomer,"Thanedar, Shri",D,1955,46
Baby Boomer,"Moylan, James C.",R,1962,47
Baby Boomer,"Ivey, Glenn",D,1961,10
Baby Boomer,"Hoyle, Val T.",D,1964,20
Baby Boomer,"Foushee, Valerie P.",D,1956,17
Baby Boomer,"Ezell, Mike",R,1959,35
Baby Boomer,"Edwards, Chuck",R,1960,39
Baby Boomer,"Alford, Mark",R,1963,38
Baby Boomer,"Miller-Meeks, Mariannette",R,1955,113
Baby Boomer,"Gimenez, Carlos A.",R,1954,53
Baby Boomer,"Tenney, Claudia",R,1961,217
Baby Boomer,"Rutherford, John H.",R,1952,46
Baby Boomer,"Zinke, Ryan K.",R,1961,54
Baby Boomer,"Dingell, Debbie",D,1953,238
Baby Boomer,"Moolenaar, John R.",R,1961,88
Baby Boomer,"Frankel, Lois",D,1948,93
Baby Boomer,"Walberg, Tim",R,1951,214
Baby Boomer,"Nadler, Jerrold",D,1947,540
Baby Boomer,"Diaz-Balart, Mario",R,1961,108
Baby Boomer,"Carter, Troy A.",D,1963,54
Baby Boomer,"Kim, Young",R,1962,89
Baby Boomer,"Strickland, Marilyn",D,1962,51
Baby Boomer,"Owens, Burgess",R,1951,52
Baby Boomer,"Fitzgerald, Scott",R,1963,63
Baby Boomer,"DeSaulnier, Mark",D,1952,212
Baby Boomer,"Peters, Scott H.",D,1958,226
Baby Boomer,"Vargas, Juan",D,1961,85
Baby Boomer,"Takano, Mark",D,1960,217
Baby Boomer,"Chu, Judy",D,1953,236
Baby Boomer,"Schweikert, David",R,1962,178
Baby Boomer,"Gosar, Paul A.",R,1958,363
Baby Boomer,"McClintock, Tom",R,1956,151
Baby Boomer,"Thompson, Mike",D,1951,352
Baby Boomer,"Sherman, Brad",D,1954,224
Baby Boomer,"Sessions, Pete",R,1955,449
Baby Boomer,"Costa, Jim",D,1952,180
Baby Boomer,"Issa, Darrell",R,1953,383
Baby Boomer,"Calvert, Ken",R,1953,277
Baby Boomer,"Lofgren, Zoe",D,1947,364
Baby Boomer,"Salazar, Maria Elvira",R,1961,65
Baby Boomer,"Ross, Deborah K.",D,1963,68
Baby Boomer,"Miller, Mary E.",R,1959,74
Baby Boomer,"Leger Fernandez, Teresa",D,1959,85
Baby Boomer,"Harshbarger, Diana",R,1960,63
Baby Boomer,"Clyde, Andrew S.",R,1963,73
Baby Boomer,"Bentz, Cliff",R,1952,20
Baby Boomer,"Tiffany, Thomas P.",R,1957,66
Baby Boomer,"Murphy, Gregory F.",R,1963,108
Baby Boomer,"Garcia, Sylvia R.",D,1950,77
Baby Boomer,"Burchett, Tim",R,1964,123
Baby Boomer,"Joyce, John",R,1957,54
Baby Boomer,"Meuser, Daniel",R,1964,60
Baby Boomer,"Dean, Madeleine",D,1959,109
Baby Boomer,"Van Drew, Jefferson",D,1953,154
Baby Boomer,"García, Jesús G. ""Chuy""",D,1956,65
Baby Boomer,"Smucker, Lloyd",R,1964,99
Baby Boomer,"Evans, Dwight",D,1954,58
Baby Boomer,"Perry, Scott",R,1962,306
Baby Boomer,"Kelly, Mike",R,1948,177
Baby Boomer,"Thompson, Glenn",R,1959,155
Baby Boomer,"Mfume, Kweisi",D,1948,88
